Exported SMaRT Impedance Data,,,,,,,,,,,,,
Experiment start time : 7/21/2016 6:10:26 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,0:00:09,10000000,1,0,-,-,-,-1.79E-02,-4.516734,252.0791,4.516769
2,1,2,0:00:16,7196857,1,0,-,-,-,-14.58803,-2.325409,0.1594052,14.77221
3,1,3,0:00:24,5179475,1,0,-,-,-,-12.33379,12.97159,-1.051711,17.89928
4,1,4,0:00:30,3727594,1,0,-,-,-,24.5815,24.09594,0.9802467,34.42186
5,1,5,0:00:36,2682696,1,0,-,-,-,25.00568,4.980865,0.1991894,25.49692
6,1,6,0:00:42,1930698,1,0,-,-,-,18.00017,1.761542,9.79E-02,18.08616
7,1,7,0:00:48,1389496,1,0,-,-,-,16.02525,1.254928,7.83E-02,16.07431
8,1,8,0:00:54,1000000,1,0,-,-,-,15.02271,1.097878,7.31E-02,15.06277
9,1,9,0:01:00,719685.7,1,0,-,-,-,14.6509,1.090417,7.44E-02,14.69142
10,1,10,0:01:07,517947.4,1,0,-,-,-,14.58373,1.127281,7.73E-02,14.62724
11,1,11,0:01:13,372759.4,1,0,-,-,-,14.67268,1.191018,8.12E-02,14.72094
12,1,12,0:01:19,268269.6,1,0,-,-,-,14.85194,1.267849,8.54E-02,14.90595
13,1,13,0:01:25,193069.8,1,0,-,-,-,15.08891,1.347808,8.93E-02,15.14899
14,1,14,0:01:30,138949.5,1,0,-,-,-,15.36908,1.423327,9.26E-02,15.43485
15,1,15,0:01:39,100000,1,0,-,-,-,15.68851,1.505685,9.60E-02,15.76059
16,2,1,0:01:47,100000,1,0,-,-,-,15.6893,1.506175,9.60E-02,15.76143
17,2,2,0:01:56,71968.57,1,0,-,-,-,16.00344,1.569775,9.81E-02,16.08025
18,2,3,0:02:05,51794.75,1,0,-,-,-,16.35002,1.6121,9.86E-02,16.4293
19,2,4,0:02:10,37275.94,1,0,-,-,-,16.70684,1.64962,9.87E-02,16.78808
20,2,5,0:02:16,26826.96,1,0,-,-,-,17.07248,1.673216,9.80E-02,17.15428
21,2,6,0:02:22,19306.98,1,0,-,-,-,17.44222,1.686616,9.67E-02,17.52357
22,2,7,0:02:28,13894.96,1,0,-,-,-,17.84829,1.699618,9.52E-02,17.92903
23,2,8,0:02:34,10000,1,0,-,-,-,18.22328,1.679191,9.21E-02,18.30048
24,2,9,0:02:40,7196.857,1,0,-,-,-,18.5889,1.642084,0.0883368,18.66129
25,2,10,0:02:46,5179.475,1,0,-,-,-,18.94867,1.591647,8.40E-02,19.0154
26,2,11,0:02:52,3727.594,1,0,-,-,-,19.29324,1.528616,7.92E-02,19.3537
27,2,12,0:02:58,2682.696,1,0,-,-,-,19.62478,1.450734,7.39E-02,19.67833
28,2,13,0:03:04,1930.698,1,0,-,-,-,19.93642,1.364641,6.84E-02,19.98307
29,2,14,0:03:09,1389.495,1,0,-,-,-,20.22838,1.274994,6.30E-02,20.26852
30,2,15,0:03:15,1000,1,0,-,-,-,20.49918,1.172006,5.72E-02,20.53266
31,2,16,0:03:22,719.6857,1,0,-,-,-,20.74185,1.05826,5.10E-02,20.76883
32,2,17,0:03:28,517.9474,1,0,-,-,-,20.95996,0.9360048,0.0446568,20.98085
33,2,18,0:03:34,372.7594,1,0,-,-,-,21.1466,0.8127877,3.84E-02,21.16222
34,2,19,0:03:41,268.2696,1,0,-,-,-,21.29314,0.6801157,3.19E-02,21.304
35,2,20,0:03:47,193.0698,1,0,-,-,-,21.41319,0.5629163,0.0262883,21.42059
36,2,21,0:03:53,138.9496,1,0,-,-,-,21.5038,0.4597401,2.14E-02,21.50872
37,2,22,0:03:59,100,1,0,-,-,-,21.56945,0.3659627,1.70E-02,21.57256
38,2,23,0:04:05,71.96857,1,0,-,-,-,21.61445,0.288249,1.33E-02,21.61637
39,2,24,0:04:11,51.79475,1,0,-,-,-,21.64788,0.2246547,1.04E-02,21.64904
40,2,25,0:04:17,37.27594,1,0,-,-,-,21.67295,0.1751564,8.08E-03,21.67366
41,2,26,0:04:23,26.82696,1,0,-,-,-,21.68773,0.1354938,6.25E-03,21.68815
42,2,27,0:04:29,19.30698,1,0,-,-,-,21.69919,0.1061532,4.89E-03,21.69945
43,2,28,0:04:35,13.89495,1,0,-,-,-,21.7092,8.10E-02,3.73E-03,21.70935
44,2,29,0:04:40,10,1,0,-,-,-,21.71444,0.0630606,2.90E-03,21.71453
45,2,30,0:04:48,7.196856,1,0,-,-,-,21.71757,5.17E-02,2.38E-03,21.71763
46,2,31,0:04:55,5.179475,1,0,-,-,-,21.72064,4.34E-02,2.00E-03,21.72068
47,2,32,0:05:01,3.727594,1,0,-,-,-,21.72221,4.16E-02,1.91E-03,21.72225
48,2,33,0:05:08,2.682696,1,0,-,-,-,21.71803,4.05E-02,1.86E-03,21.71807
49,2,34,0:05:13,1.930698,1,0,-,-,-,21.71486,5.49E-02,2.53E-03,21.71493
50,2,35,0:05:20,1.389495,1,0,-,-,-,21.72856,5.65E-02,2.60E-03,21.72863
51,2,36,0:05:26,1,1,0,-,-,-,21.72914,8.48E-02,3.90E-03,21.72931
